time,calanoids,rotifers,nanophytoplankton,picophytoplankton
1386.9,0.70895,0.61366,0.45027,0.99777
1390.25,0.84116,0.57629,0.73818,0.9927
1393.6,0.96472,0.54747,0.30156,0.72096
1396.95,0.91824,0.53535,0.35534,0.99442
1400.3,0.96683,0.62639,0,1.36971
1403.65,0.97702,0.92987,0,1.33807
1407,0.87667,1.36273,0,1.4102
1410.35,0.86345,1.52938,0,1.34551
1413.7,0.79749,1.61366,0,1.04471
1417.05,0.54375,1.57587,0.27756,0.64372
1420.4,0.68852,1.46625,0.19515,0.29663
1423.75,0.59786,1.11266,0.08765,0
1427.1,0.67135,0.70904,0.53108,0
1430.45,0.67509,0.51668,0.73624,0
1433.8,0.69854,0.40187,0.59484,0.27826
1437.15,0.82616,0.53925,0.23304,0.84655
1440.5,0.93709,0.80464,0.22997,1.04978
1443.85,0.97128,1.19422,0.18431,0.76291
1447.2,0.88969,1.42726,0.21012,0.41151
1450.55,0.73404,1.43221,0.21044,0.32475
1453.9,0.70945,1.24808,0.28847,0.70183
1457.25,0.6549,1.07467,0.38381,0.99253
1460.6,0.74268,1.08573,0.29456,1.00799
1463.95,0.6656,0.5307,0.23761,1.16144
1467.3,0.83021,0.86593,0.22933,0.96313
1470.65,0.73339,0.86217,0.41584,1.18684
1474,0.70134,0.72367,0.29701,1.18571
1477.35,0.70367,0.48953,0,0.57979
1480.7,0.83344,0.38771,0,0.49124
1484.05,0.70298,0.40866,0.25164,0.41723
1487.4,0.61125,0.27427,0.44077,0.23583
1490.75,0.70979,0.20812,0.60368,0.59054
1494.1,0.82245,0.20767,0.51909,0.36657
1497.45,1.06357,0.24419,0.59235,0.60418
1500.8,1.44598,0.21808,0.45002,1.0543
1504.15,1.49841,0.23853,0.28453,1.39213
1507.5,1.49977,0.29187,0.1576,1.74476
1510.85,1.24415,0.22622,0,2.63738
1514.2,1.22907,0.48785,0,2.75863
1517.55,1.39397,0.66946,0,2.34503
1520.9,1.36591,1.03056,0,2.60239
1524.25,1.2913,1.13355,0,2.73733
1527.6,0.84248,1.02952,0,0.56584
1530.95,0.89663,1.04418,0,0.61493
1534.3,0.81421,0.60407,0,0.88646
1537.65,0.82602,0.42143,0,1.22099
1541,0.69787,0.44308,0,1.27738
